,Total_ED
Total_ED,1.0
Age_Group_years,0.9998757457518737
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",0.9994618467568135
Payer_Patient_Residence_State_NC,0.998546097395558
Age_Group_Less_than_1_year,0.990570903436741
Race_Caucasian,0.9805816011237515
Payer_Uninsured,0.9791240795886629
Payer_Medicaid,0.9758905330338588
E_MINRTY,0.926178476766656
Race_Non_Hispanic,0.92225283483609
E_AGE17,0.9187001594301109
E_CROWD,0.917243736987941
AVG_MC_Enrollees,0.9160758641773865
E_SNGPNT,0.9131279247897784
E_UNEMP,0.9059100600031088
Payer_Medicare,0.9031087517166911
M_CROWD,0.9021662052341403
M_AFAM,0.9017036833304715
M_SNGPNT,0.897343075237555
Race_African_American,0.8971907709387946
AVG_MA_Enrollments_2023_FY,0.8923305428072932
E_TOTPOP,0.8898749950083816
M_TWOMORE,0.8880263420175382
E_POV150,0.8874796464705595
E_HH,0.884781938798425
E_TWOMORE,0.8773515019216158
E_AFAM,0.8763044874829564
E_DISABL,0.8759040784592502
M_UNINSUR,0.8742903633705688
E_UNINSUR,0.8727029081290115
E_DAYPOP,0.8725509140928526
E_NOHSDP,0.8703488739749232
M_HBURD,0.8695839431580785
M_UNEMP,0.8646763334024338
E_NOINT,0.8632419638704157
E_HISP,0.8624903588367776
E_NOVEH,0.8596083121355546
E_HU,0.8559335853931161
MP_DISABL,-0.8527999770115213
E_HBURD,0.847697704033889
M_POV150,0.8471134379360697
M_NOVEH,0.8451889478766657
E_AGE65,0.8316494685065584
M_NOHSDP,0.8288903752953268
E_MOBILE,0.8227352939264359
Age_Group_or_more_years,0.8080546113103092
MP_POV150,-0.8036545300957247
E_OTHERRACE,0.8012965009932892
EP_AFAM,0.7984299064000008
MP_UNINSUR,-0.7941240058503111
E_LIMENG,0.7938603795031499
E_ASIAN,0.7880468985805716
M_DISABL,0.7816095972231005
M_NOINT,0.7747113471011393
Payer_Other_government,0.774119833419933
Race_Ethnicity_Hispanic,0.7722829953900537
Payer_Left_against_medical_advice,0.7718148899786376
MP_MOBILE,-0.7653199183606251
Race_Asian/Pacific_Islander,0.7615713352990187
MP_HBURD,-0.7576931887264959
M_MUNIT,0.757050245329059
M_LIMENG,0.7558351561752504
M_ASIAN,0.7553361626996887
MDs_Pediatrics_2021,0.7498196535843772
Payer_Hospice,0.7385434495819581
M_MOBILE,0.7329231258855842
MP_SNGPNT,-0.7328646184481534
RUCC_2013,-0.7303823254488178
MP_NOINT,-0.7290597020391224
M_MINRTY,0.7100291569378366
MP_NOVEH,-0.7010046746802975
UIC_2013,-0.7003589401550978
MDs_InternalMed_2021,0.6988867186861385
M_OTHERRACE,0.6933849830156394
"Payer_Discharged,_transferred_to_psychiatric_facility",0.6923889351070308
MP_UNEMP,-0.6911462741182053
Payer_Expired,0.6896277912871768
HEARING_crude_prevalence,-0.681351493611885
E_MUNIT,0.6619457487580032
EPL_AGE65,-0.658097369114459
MDs_PrimaryCare_perCap_2021,0.6481643489545222
Payer_Other,0.6473074297585978
EPL_AGE17,0.6460094593091902
Race_Other_Race,0.6407645233639573
Payer_Court/Law_Enforcement,0.6345695261080986
M_HH,0.6275831360067275
MP_AGE65,-0.6239311998583924
