,Total_ED
Total_ED,1.0
Age_Group_years,0.999953439410993
"Payer_Patient_Disposition_Home,_self,_or_outpatient_care",0.9992994694994347
Payer_Patient_Residence_State_NC,0.998339724542504
Race_Non_Hispanic,0.9977908990467772
Payer_Uninsured,0.9330267384578699
E_DAYPOP,0.9149059299030354
E_HBURD,0.9136656800000914
E_HH,0.9135958497280011
Age_Group_or_more_years,0.9082714867633899
Payer_Medicaid,0.9064371930601941
E_UNINSUR,0.9018964146251589
MDs_PrimaryCare_perCap_2021,0.892963193920013
M_NOVEH,0.8929051613393978
E_NOVEH,0.892845779078255
E_UNEMP,0.8856466615176588
M_UNINSUR,0.879985300293443
E_TOTPOP,0.8793073913840307
Race_Caucasian,0.8761485072561942
M_NOHSDP,0.873523023854919
E_POV150,0.8723907695879256
E_OTHERRACE,0.8698752590798128
E_HU,0.8697232195478367
E_DISABL,0.8686569502492911
MDs_InternalMed_2021,0.8661613621215581
M_UNEMP,0.8595957562311619
Payer_Medicare,0.8568204003718137
M_MUNIT,0.8499400753965942
E_SNGPNT,0.8486677774753397
M_HBURD,0.8459579923604651
AVG_MC_Enrollees,0.8405994733113689
E_MUNIT,0.8399473273102792
Age_Group_Less_than_1_year,0.8351521734093074
MDs_FamilyMed_2021,0.8326933833753207
"Payer_Discharged,_transferred_to_facility_that_provides_nursing,_custodial,_or_supportive_care",0.8316211747759423
M_DISABL,0.8202800057128812
"Payer_Discharged,_transferred_to_rehab_facility",0.8190449915416582
E_AGE17,0.8169163627122219
Race_Other_Race,0.8133613540378498
Payer_GA,0.8098439451451458
M_POV150,0.8097107027947008
AVG_MA_Enrollments_2023_FY,0.8073656137061681
EP_MUNIT,0.8068746022266184
E_AGE65,0.8018735284303028
M_ASIAN,0.7933670633198325
M_SNGPNT,0.7930421464333551
E_NOINT,0.7916088336884168
E_MINRTY,0.7913196040562721
MDs_All_2021,0.7911469142846551
E_NOHSDP,0.7903788678261998
M_NOINT,0.7887361424311048
E_ASIAN,0.7836019401649792
Race_Unknown,0.7804028776230977
Race_Ethnicity_Hispanic,0.7772576058887184
M_HH,0.7669347394136548
MDs_Pediatrics_2021,0.7627733332022997
M_AFAM,0.7544040343539401
M_OTHERRACE,0.7502099882978936
Race_African_American,0.7484098019397979
MP_UNINSUR,-0.7478604783539273
MP_MOBILE,-0.747306064939959
M_TWOMORE,0.7387842357745209
M_HU,0.7383264101980788
M_LIMENG,0.7216690491341958
E_TWOMORE,0.7216371054565776
CHD_crude_prevalence,-0.7161282686290147
EPL_MUNIT,0.7154933053172327
F_MUNIT,0.7145045288231805
E_CROWD,0.7139219817704102
MP_DISABL,-0.7120739100502466
STROKE_crude_prevalence,-0.7045250904080314
MP_HBURD,-0.7034362492035278
PHLTH_crude_prevalence,-0.7027292832134907
RUCC_2013,-0.7017624575800634
E_AFAM,0.6991290229111942
MOBILITY_crude_prevalence,-0.6986812032363368
MP_NOINT,-0.6974930318546201
Race_Asian/Pacific_Islander,0.6919365530651987
DIABETES_crude_prevalence,-0.6777362130464728
"Payer_Discharged,_transferred_to_psychiatric_facility",0.6755258989825756
HEARING_crude_prevalence,-0.6753095377720447
MP_NOHSDP,-0.6721236245149027
Race_Unavailable,0.6702818919463852
M_CROWD,0.6679920774735204
MP_POV150,-0.6678253706554318
EPL_MOBILE,-0.667295452343481
MP_SNGPNT,-0.6474687799288085
DISABILITY_crude_prevalence,-0.6471007677993216
GHLTH_crude_prevalence,-0.6424217284597875
MP_UNEMP,-0.6415810020727226
Payer_Other,0.6371906753818203
LPA_crude_prevalence,-0.634643837388366
SELFCARE_crude_prevalence,-0.6336873733985773
UIC_2013,-0.622905761674488
M_MINRTY,0.6217566241848822
E_HISP,0.6204782055207697
EP_MOBILE,-0.6203120620588888
E_LIMENG,0.6158850415605913
VISION_crude_prevalence,-0.6138104010313111
BINGE_crude_prevalence,0.6135097599366901
